phecode,phecode_str
1009,"Injury, NOS"
1010,Other tests
1010.7,"Persons with potential health hazards related to socioeconomic, psychosocial, and other circumstances"
1011,Complications of surgical and medical procedures
1013,Asphyxia and hypoxemia
1019,Other ill-defined and unknown causes of morbidity and mortality
1090,Acquired absence of organs
165,Cancer within the respiratory system
165.1,Cancer of bronchus; lung
174,Breast cancer
174.1,Breast cancer [female]
174.11,Malignant neoplasm of female breast
195,"Cancer, suspected or other"
195.1,"Malignant neoplasm, other"
198,Secondary malignant neoplasm
198.1,Secondary malignancy of lymph nodes
198.2,Secondary malignancy of respiratory organs
198.5,Secondary malignancy of brain/spine
198.6,Secondary malignancy of bone
204,Leukemia
244.4,Hypothyroidism NOS
250,Diabetes mellitus
250.2,Type 2 diabetes
250.22,Type 2 diabetes with renal manifestations
250.42,Other abnormal glucose
260,Protein-calorie malnutrition
260.2,severe protein-calorie malnutrition
260.3,Adult failure to thrive
272.1,Hyperlipidemia
275,Disorders of mineral metabolism
275.5,Disorders of calcium/phosphorus metabolism
275.53,Disorders of phosphorus metabolism
276.1,Electrolyte imbalance
276.11,Hyperosmolality and/or hypernatremia
276.12,Hyposmolality and/or hyponatremia
276.13,Hyperpotassemia
276.14,Hypopotassemia
276.4,Acid-base balance disorder
276.41,Acidosis
276.42,Alkalosis
276.5,Hypovolemia
276.6,Fluid overload
278,"Overweight, obesity and other hyperalimentation"
278.1,Obesity
278.11,Morbid obesity
279,Disorders involving the immune mechanism
280.1,"Iron deficiency anemias, unspecified or not due to blood loss"
284,Aplastic anemia
284.1,Pancytopenia
285,Other anemias
285.1,Acute posthemorrhagic anemia
285.2,Anemia of chronic disease
285.21,Anemia in chronic kidney disease
285.22,Anemia in neoplastic disease
286.9,Abnormal coagulation profile
287,Purpura and other hemorrhagic conditions
287.3,Thrombocytopenia
288,Diseases of white blood cells
288.1,Decreased white blood cell count
288.2,Elevated white blood cell count
289,Other diseases of blood and blood-forming organs
289.4,Lymphadenitis
290,Delirium dementia and amnestic and other cognitive disorders
290.2,Delirium due to conditions classified elsewhere
291.8,Alteration of consciousness
292,Neurological disorders
292.1,Aphasia/speech disturbance
292.4,Altered mental status
296,Mood disorders
296.2,Depression
296.22,Major depressive disorder
300,Anxiety disorders
300.1,Anxiety disorder
304,Adjustment reaction
316,Substance addiction and disorders
317,Alcohol-related disorders
317.1,Alcoholism
318,Tobacco use disorder
327,Sleep disorders
327.3,Sleep apnea
327.32,Obstructive sleep apnea
327.4,Insomnia
338.1,Acute pain
338.2,Chronic pain
339,Other headache syndromes
345,"Epilepsy, recurrent seizures, convulsions"
348,Other conditions of brain
348.8,"Encephalopathy, not elsewhere classified"
357,Inflammatory and toxic neuropathy
386,Vertiginous syndromes and other disorders of vestibular system
386.9,Dizziness and giddiness (Light-headedness and vertigo)
394,Rheumatic disease of the heart valves
395,Heart valve disorders
401,Hypertension
401.1,Essential hypertension
401.2,Hypertensive heart and/or renal disease
401.21,Hypertensive heart disease
401.22,Hypertensive chronic kidney disease
411.2,Myocardial infarction
411.4,Coronary atherosclerosis
415,Pulmonary heart disease
415.1,Acute pulmonary heart disease
415.11,"Pulmonary embolism and infarction, acute"
415.2,Chronic pulmonary heart disease
416,Cardiomegaly
418,Nonspecific chest pain
420.2,Pericarditis
425.1,Primary/intrinsic cardiomyopathies
426,Cardiac conduction disorders
426.3,Bundle branch block
426.31,Right bundle branch block
426.32,Left bundle branch block
426.7,Abnormal electrocardiogram [ECG] [EKG]
426.8,Other cardiac conduction disorders
427.1,"Paroxysmal tachycardia, unspecified"
427.11,Paroxysmal supraventricular tachycardia
