idx,phecode,phenotype,n_direct,n_associated,test_auc_trusted_probe
1,165,Cancer within the respiratory system,618.0,10356.0,0.824413289909565
2,165.1,Cancer of bronchus; lung,618.0,10356.0,0.8220106061470035
3,174,Breast cancer,14.0,64.0,0.672852233676976
4,174.1,Breast cancer [female],14.0,64.0,0.6586104468106899
5,174.11,Malignant neoplasm of female breast,14.0,64.0,0.6708822575997696
6,195,"Cancer, suspected or other",0.0,2487.0,0.7656914814228013
7,198,Secondary malignant neoplasm,0.0,2487.0,0.8040754608294931
8,198.1,Secondary malignancy of lymph nodes,87.0,996.0,0.8004617834394905
9,198.2,Secondary malignancy of respiratory organs,618.0,10356.0,0.8164504622987406
10,198.6,Secondary malignancy of bone,522.0,0.0,0.784856727243743
11,250,Diabetes mellitus,0.0,1585.0,0.6997969853541701
12,250.2,Type 2 diabetes,0.0,1585.0,0.7097729424536391
13,250.22,Type 2 diabetes with renal manifestations,0.0,1585.0,0.7768499421500075
14,276.5,Hypovolemia,0.0,56.0,0.7330703343011913
15,276.6,Fluid overload,33.0,3872.0,0.8337497272285981
16,278,"Overweight, obesity and other hyperalimentation",4.0,1585.0,0.8105164961713329
17,278.1,Obesity,4.0,1585.0,0.8217557280449869
18,278.11,Morbid obesity,4.0,1585.0,0.8419477957939496
19,285.21,Anemia in chronic kidney disease,532.0,1419.0,0.8004674585443902
20,285.22,Anemia in neoplastic disease,0.0,2487.0,0.8051669984516701
21,289.4,Lymphadenitis,0.0,1260.0,0.6200177376718875
22,394,Rheumatic disease of the heart valves,0.0,172.0,0.6416382036685642
23,395,Heart valve disorders,0.0,137.0,0.7567279342575747
24,401.2,Hypertensive heart and/or renal disease,0.0,3471.0,0.7865581352609654
25,401.21,Hypertensive heart disease,0.0,3471.0,0.7829352827755893
26,401.22,Hypertensive chronic kidney disease,532.0,1419.0,0.7061503161900498
27,411.4,Coronary atherosclerosis,1529.0,583.0,0.7191847252801711
28,415,Pulmonary heart disease,305.0,1441.0,0.616511692151702
29,415.1,Acute pulmonary heart disease,305.0,1441.0,0.5570480789146645
30,415.11,"Pulmonary embolism and infarction, acute",56.0,0.0,0.5710851263725332
31,415.2,Chronic pulmonary heart disease,305.0,1441.0,0.6813177794712469
32,416,Cardiomegaly,142.0,0.0,0.7227477775815377
33,420.2,Pericarditis,30.0,579.0,0.7416765402843601
34,428.1,Congestive heart failure (CHF) NOS,0.0,3471.0,0.7976786478391099
35,428.3,Heart failure with reduced EF [Systolic or combined heart failure],0.0,3471.0,0.7864766146016146
36,428.4,Heart failure with preserved EF [Diastolic heart failure],0.0,3471.0,0.8259824249605056
37,442,Other aneurysm,989.0,0.0,0.6827105628044228
38,452,Other venous embolism and thrombosis,24.0,0.0,0.6832356179342816
39,452.2,Deep vein thrombosis [DVT],92.0,0.0,0.676450504228282
40,458,Hypotension,0.0,56.0,0.7716998315946104
41,458.9,Hypotension NOS,0.0,56.0,0.7805298857953776
42,480,Pneumonia,6162.0,10166.0,0.8255107298348662
43,480.1,Bacterial pneumonia,6162.0,10166.0,0.8405206951812555
44,480.11,Pneumococcal pneumonia,6162.0,10166.0,0.7855157681971655
